class,frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
Sleepy,19,0.134,0.387,1.086,0.042,0.277,0.134,0.298,0.692
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,91,0.152,0.376,2.123,0.068,1.012,0.131,0.242,1.547
Sleepy,190,0.159,0.495,2.663,0.123,2.099,0.130,0.299,2.334
Not Sleepy,29,0.312,0.718,1.876,0.040,0.172,0.147,0.365,1.037
Not Sleepy,113,0.295,1.338,9.194,0.568,3.216,0.145,0.456,2.300
Not Sleepy,24,0.308,0.641,1.369,0.059,0.333,0.152,0.323,0.794
Not Sleepy,39,0.290,0.767,3.386,0.112,0.593,0.144,0.341,1.299
Not Sleepy,107,0.243,0.750,2.992,0.078,0.608,0.146,0.388,1.471
Not Sleepy,179,0.245,0.973,7.049,0.171,2.035,0.145,0.402,1.752
Not Sleepy,220,0.294,2.214,8.756,0.406,2.911,0.145,0.728,4.836
Not Sleepy,306,0.295,4.251,32.503,1.043,9.582,0.151,1.515,18.166
Not Sleepy,49,0.291,1.014,5.259,0.030,0.175,0.146,0.590,3.811
Not Sleepy,49,0.304,0.661,3.466,0.034,0.162,0.148,0.312,1.772
Sleepy,18,0.529,0.999,1.388,0.044,0.164,0.324,0.494,0.651
Sleepy,18,0.290,0.794,1.199,0.084,0.347,0.165,0.363,0.621
Sleepy,17,0.541,0.876,1.074,0.080,0.168,0.168,0.382,0.493
Sleepy,12,0.536,0.551,0.569,0.051,0.163,0.150,0.237,0.344
Sleepy,14,0.566,0.917,1.295,0.000,0.000,0.343,0.551,0.804
Sleepy,48,0.291,1.606,5.097,0.325,1.244,0.143,0.597,1.567
Sleepy,26,0.302,1.272,1.727,0.072,0.179,0.168,0.733,1.055
Sleepy,13,0.840,1.140,1.532,0.059,0.150,0.298,0.556,0.735
Sleepy,17,0.577,1.090,1.640,0.085,0.299,0.336,0.545,0.752
Sleepy,131,0.822,5.682,12.002,0.793,5.244,0.302,2.949,9.012
Not Sleepy,98,0.238,0.668,3.969,0.126,1.304,0.086,0.200,1.228
Not Sleepy,60,0.247,0.535,4.931,0.202,2.352,0.093,0.125,0.270
Not Sleepy,35,0.242,0.365,0.962,0.012,0.106,0.086,0.143,0.458
Not Sleepy,35,0.182,0.368,0.972,0.017,0.103,0.089,0.177,1.198
Not Sleepy,24,0.244,0.383,0.980,0.032,0.188,0.090,0.132,0.281
Not Sleepy,43,0.239,0.436,1.588,0.021,0.218,0.087,0.161,0.847
Not Sleepy,45,0.237,0.511,2.298,0.039,0.225,0.088,0.185,0.795
Not Sleepy,203,0.238,0.864,2.947,0.070,0.641,0.086,0.265,1.182
Not Sleepy,203,0.243,1.072,7.704,0.112,1.200,0.085,0.325,1.900
Not Sleepy,237,0.220,1.147,16.560,0.241,4.544,0.085,0.331,3.417
Sleepy,47,0.274,1.410,2.331,0.110,0.387,0.092,0.488,0.816
Sleepy,50,0.269,0.680,3.814,0.032,0.181,0.104,0.244,1.370
Sleepy,25,0.279,1.095,1.970,0.126,0.501,0.092,0.350,0.648
Sleepy,72,0.271,0.883,2.249,0.100,0.613,0.089,0.322,1.176
Sleepy,63,0.273,1.665,2.344,0.088,0.339,0.094,0.682,0.921
Sleepy,90,0.273,1.832,7.646,0.099,0.404,0.113,0.693,3.224
Sleepy,60,0.267,0.868,2.221,0.058,0.447,0.088,0.355,0.807
Sleepy,54,0.277,1.115,1.851,0.071,0.452,0.096,0.446,0.701
Sleepy,67,0.267,1.656,2.889,0.119,0.500,0.099,0.628,1.083
Sleepy,64,0.271,1.530,3.704,0.150,0.480,0.099,0.572,1.288
Not Sleepy,14,0.542,0.655,0.723,0.181,0.603,0.897,1.162,1.532
