frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
7,0.292,0.840,1.389,0.152,0.455,0.470,1.382,2.295
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,1.593,1.593,1.593,0.481,0.962,1.900,1.900,1.900
5,0.275,0.654,1.033,0.154,0.462,0.467,0.923,1.378
5,1.224,1.224,1.224,0.229,0.457,1.850,1.850,1.850
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.563,0.849,1.415,0.202,0.953,0.477,1.124,1.862
44,0.285,2.942,7.597,2.296,10.068,0.468,2.178,3.272
10,2.019,2.019,2.019,0.687,1.376,3.288,3.288,3.288
17,0.286,0.890,3.011,0.075,0.452,0.449,1.478,5.519
